년(Annual),시도,시군구,계,전,답,과수원,목장용지,임야,광천지,염전,대,공장용지,학교용지,주차장,주유소용지,창고용지,도로,철도용지,제방,하천,구거,유지,양어장,수도용지,공원,체육용지,유원지,종교용지,사적지,묘지,잡종지
2018,대구,달서구,62341432.2,727235.6,1454559,31459,4232,19195625.1,0,0,14539103.6,7392103,2844995.9,123634.6,89278.4,85506.8,8389151.1,155628.8,175678,2035041.2,308986.1,562903.5,0,296750.4,2309696.7,188931.3,0,143858.9,3946,161951,1121176.2
2018,대구,달성군,426689265.2,22298913.7,51687704.3,630814.4,1128827,253863655.1,6,0,15711487.3,12554571.8,1775016,341450.7,102041.9,494532.3,17001326.3,330729,2438951,25369580.7,7224775,3104478.4,27902,1341441.8,3047418.3,323680.7,375483,252294.4,2133,2651191.3,2608859.8
2018,인천,인천,1063271304.1,80487194,162659326.8,1606905.8,2687303.9,393130246.3,0,4076124,109898720,25860619.7,11626217.8,1642095.5,692046.6,3997950.5,81778396.6,2525916.6,3799252.5,6691802,21524565,20558278.4,429344.2,1298816.8,26194637.8,11177354.1,1379967.8,1483451.7,335571.8,2745012.4,82984185.5
2018,인천,중구,140278158.3,4706876.6,5579343.7,138117,3135,31140034.5,0,1765122,13229145.9,1802647.7,956718.8,583868.1,76001.4,1562174.9,13653147.1,797968.8,776207.3,38254.1,2114896.6,3806216,0,26765.4,6487525.1,3127597.8,1035010,101006.5,0,107733,46662645
2018,인천,동구,7194484.3,79,0,0,0,65256,0,0,1827492.1,2354105.7,272790.4,22981,18754.6,141844.5,1136624,51825.8,1481.8,53,126352,189987.7,0,50592.3,212764.3,28994.5,0,45840.3,0,0,646665.3
2018,인천,미추홀구,24834639.6,208045.8,43160.5,0,0,1717519.7,0,0,10806829.2,1172940.3,1872291.2,67915.8,76744.7,38004.8,5029407.4,244623.5,54210.6,9780,82001.6,940185.1,0,108071.3,595570.9,424289.6,0,135486.3,26076.1,8482,1173003.2
2018,인천,연수구,54947865.8,851868.6,292634.9,128.1,1675,3952270.3,0,0,16465720.3,1411032.6,2701596.2,249241,51343,192,8806175.3,126533.4,67060.5,54257.1,81961.9,1018584.9,0,20900,7827272.3,2662593.6,17256,86262.5,2645.7,54009,8144651.6
2018,인천,남동구,57048595.4,5675323.7,1104482.7,255471,10982,10295286.2,0,123630,11883790.3,6475075.9,1050974.6,174360.9,68682.4,87319.5,9112107.3,165285.1,214362.4,1146537.6,282878.1,921852.8,8517,417885.4,5762765.7,191860.4,0,146895.6,0,100443.8,1371825
2018,인천,부평구,32008788,543962.5,621226,0,0,7159224.9,0,0,10375214.5,2225405.1,1115823.2,51745,84993.8,54110.6,4588673.4,293113.3,29383,78847.4,685535.1,59716.1,0,250565.6,885901.3,118118.8,0,166044.1,0,29809.6,2591374.7
2018,인천,계양구,45565926.3,5385956.4,9214781.7,60308,53415.8,12630699.7,0,0,7056596.1,116362.6,914152.4,79496.4,57265.8,85125.1,5168118.4,501180,25012,656378.1,1629046.4,1574,11648,47580,321500.7,271193.8,649,83880.4,0,113463,1080542.5
2018,인천,서구,117084799,8541130.7,10667938.4,260112,99697,27052139.2,0,591255,18137977.3,9188391.3,1323800.5,196004.6,208123.9,1351867.1,13796778,345386.7,538989.7,1832052.1,1645819.1,1116517.3,1671,273637.8,4045863.6,3216977.3,3220,171058.5,0,214872,12263518.9
2018,광주,광주,501175533,33230752,85280621.2,521801,1789157.8,186909124.1,0,0,60074724.5,16454076.3,8956560.5,711779.2,411478.6,762058.3,40098243.3,2205640.2,1356191.6,20920929.3,11203547.6,4476725.4,9117,810180.2,6692487.5,2501957.8,0,979816.1,90208.5,2910930.9,11817424.1
2018,광주,동구,49312882.1,1918822.6,1326719.9,8524,24800,34616146.7,0,0,5271287,4802,1130006.8,125267.7,22538,13955.1,2747964,192921.9,0,547530.2,451090.5,158517.8,0,215773.9,114157.4,36316,0,103873.6,416,85356.2,196094.8
2018,광주,서구,47760519,3223581.3,7836360.8,42598,279991,7912160.1,0,0,11527817,1239840.3,902145.7,121597.3,41608.1,196562.1,6336136.7,161506.3,213930.2,3558634.5,877470.3,326847,0,3874.5,969315.4,615903,0,209010.8,0,63802.2,1099826.4
2018,광주,남구,61024995.4,5552996.8,15060467.2,84326,107746,18022527.8,0,0,8543576.5,358963.3,1224074.6,61136.6,54920.7,29432.8,4972809.6,199089.2,144726,2665191.9,1558581,366615.6,589,168295.8,584534.5,277408,0,226940.6,68712.4,287567.6,403765.9
2018,광주,북구,120297254.5,5568519.4,14059954.2,64131,112920,50960501.4,0,0,16539133,3565669.3,3926999.3,149509.6,81710.6,127648.8,9992188.2,421834.5,322610,4042312.2,1928328.7,1251380,2862,332283,2437919.3,146455,0,212653.3,0,1988364.2,2061367.5
2018,광주,광산구,222779882,16966831.9,46997119.1,322222,1263700.8,75397788.1,0,0,18192911,11284801.4,1773334.1,254268,210701.2,394459.5,16049144.8,1230288.3,674925.4,10107260.5,6388077.1,2373365,5666,89953,2586560.9,1425875.8,0,227337.8,21080.1,485840.7,8056369.5
2018,대전,대전,539532358.4,27491316.4,30690346.7,2221447,292750.6,277631425.1,68.2,0,65658109.1,8750262.2,9516129.7,710552.8,359029.3,444943.3,39551409.6,3790017.8,1096814.6,19645345.3,7214961.6,21566637,6401,1083970.8,9480038.2,2116415.8,17118,736472.6,79810.7,1357734.4,8022830.6
2018,대전,동구,136679185,7526877.6,4573676.3,415927.4,10153,81943698,0,0,10447190.7,287335.7,1402178.7,93555.1,53926.9,211625.6,7844278.2,926306.5,199258.8,1564028.5,1114335.6,15491716.8,1289,41611.1,1986178,86539.9,4069,96505.8,29311,63983.4,263628.4
2018,대전,중구,62179923,2796198.6,2625998.3,249220.2,22070.7,35717358.2,0,0,9583790.2,143512.9,1190491.2,55340.6,52066.6,24710.5,4648277.3,202577.6,117328.8,2426143.3,650171.2,34692,0,33911.5,1091613.6,168887,0,133094.4,0,10779,201689.3
2018,대전,서구,95477107.4,4120422.2,6436532.6,107834,73125.3,47236083.8,0,0,15332354.8,229827,2336173.9,164555.4,77242.6,36574.1,8095838.7,536906.9,339444.8,4903252.3,1437704.4,105968.6,959,330004.2,2701219.9,67041,3646,263967.7,19479,51739,469210.2
2018,대전,유성구,176504416.1,9906721.1,14820270.4,1345761.4,120250.6,85081985.1,68.2,0,22392786.3,2813066.7,3624969.6,270901.7,82302.3,120501.4,12560818.4,158624.8,240305.2,7272726.1,3397808.8,526908.3,4153,123116.7,3055895.5,1626708.6,0,169302.1,31020.7,1133556,5623887.1
2018,대전,대덕구,68691726.9,3141096.9,2233869.1,102704,67151,27652300,0,0,7901987.1,5276519.9,962316.3,126200,93490.9,51531.7,6402197,1965602,200477,3479195.1,614941.6,5407351.3,0,555327.3,645131.2,167239.3,9403,73602.6,0,97677,1464415.6
2018,울산,울산,1061543885.8,32415455.3,94538832.7,12496053.4,6620560.6,668332414.5,6,0,50061590.7,58613707.8,4295183.4,926337.7,737231.4,1001929,45959005.5,3016729.1,2057363,30100002.2,11639747.6,12409225.6,158042,1805067.7,4384915.2,3838278,69375.1,697061.8,98389,3795496.4,11475885.1
2018,울산,중구,37010139.1,1630858.5,2057674.8,717414,415719,13821302.2,0,0,8144659.2,8370.5,711141.5,76093.3,37539.3,21662.3,4040111,0,152353.1,2965615.6,479767.3,106505.3,0,38143,983348.5,227745.4,0,111296,2587,181609.9,78622.4
2018,울산,남구,73466680.8,1555038.5,2006357.2,261389.8,7866,17627748.9,0,0,10448625.8,22121222.6,1330914.5,135131.2,478440.5,109618,7883332.4,737371,201815.1,2524212,682536.7,332897.1,0,488563.4,986708.6,181572.7,0,89251.1,0,278112.5,2997955.2
2018,울산,동구,36047776.1,776252.2,1000400.4,78940,0,18197444.4,0,0,4704286.1,6173060.8,612220.9,33145.1,17485.3,22288.3,2767799.1,0,112746.9,316865,351028,24970.1,0,38346,160044.8,153424,0,60342.3,3108,48213,395365.4
2018,울산,북구,157340356.6,6593887.8,17013971.6,1171659,125256,99414583.4,0,0,6849767.5,6467101.8,684396.2,142237.6,56575.8,152509.7,5773518.6,408263.7,684622.4,5397919,2152936.7,327973,7872,86517.9,760014,208865.5,0,87836.3,64763,673485.4,2033822.7
2018,세종특별자치시,세종특별자치시,464912495.3,37233529.4,65851195.4,6471009.8,2880694.7,242646700.7,3,0,19758265.3,9886486.3,2331524.4,196919.5,91023.4,1073510,18472399.2,2389075.3,1664294.3,24796294.5,9955662.8,1097303.8,80068.6,478126,4240992.4,2115442.7,557620,299970.9,165,1972420.1,8371797.8
2018,경기,경기,10187788175.9,901313636.2,1243648953.6,21621229.7,61012467.2,5337031045.5,180,13858757,577758835.9,229367180.8,49750053.5,7488631,4112397.7,34838464.8,445354753.9,23395900,19806199.5,404988530.5,180920489.6,85833532.3,1168007.5,8692020.4,77410038.9,118410464.6,9397194.4,11085001.3,4600574.8,35154798.1,279768837.2
